Account Number,Birthday,Gender,Ethnicity,Zip Code,Veteran,Disabled,Refugee
3379,2005,Female,W,83705,FALSE,FALSE,FALSE
3379,2004,Female,W,83705,FALSE,FALSE,FALSE
3379,2016,Female,W,83705,FALSE,FALSE,FALSE
3380,1989,Male,W,83705,FALSE,FALSE,FALSE
3381,1959,Female,W,83642,FALSE,FALSE,FALSE
3381,1988,Male,W,83642,FALSE,FALSE,FALSE
3382,1965,Female,W,83704,FALSE,TRUE,FALSE
3382,1997,Male,W,83704,FALSE,TRUE,FALSE
3383,1960,Female,W,83704,FALSE,FALSE,FALSE
3383,1958,Male,W,83704,TRUE,TRUE,FALSE
3383,2007,Male,W,83704,FALSE,FALSE,FALSE
3384,1969,Female,H,83702,FALSE,FALSE,FALSE
3384,1955,Male,H,83702,FALSE,FALSE,FALSE
3384,2011,Female,H,83702,FALSE,FALSE,FALSE
3384,1992,Male,H,83702,FALSE,FALSE,FALSE
3384,2009,Female,H,83702,FALSE,FALSE,FALSE
3384,1978,Female,H,83702,FALSE,FALSE,FALSE
3385,1963,Male,W,83702,FALSE,TRUE,FALSE
3386,1978,Male,W,83705,FALSE,FALSE,TRUE
3387,1989,Male,W,83706,FALSE,FALSE,FALSE
3388,1983,Female,H,83705,FALSE,FALSE,FALSE
3388,1989,Male,H,83705,FALSE,FALSE,FALSE
3388,2000,Male,H,83705,FALSE,FALSE,FALSE
3388,2004,Female,H,83705,FALSE,FALSE,FALSE
3388,2007,Male,H,83705,FALSE,FALSE,FALSE
3388,2009,Male,H,83705,FALSE,FALSE,FALSE
3388,2015,Female,H,83705,FALSE,FALSE,FALSE
3389,1973,Female,H,83714,FALSE,FALSE,FALSE
3389,1985,Male,H,83714,FALSE,FALSE,FALSE
3389,2003,Male,H,83714,FALSE,FALSE,FALSE
3389,2011,Male,H,83714,FALSE,FALSE,FALSE
3390,1955,Female,A,83706,FALSE,FALSE,TRUE
3391,1964,Female,AI,83705,FALSE,FALSE,FALSE
3392,1983,Male,AA,83709,FALSE,FALSE,TRUE
3392,1983,Female,AA,83709,FALSE,FALSE,FALSE
3392,2011,Female,AA,83709,FALSE,FALSE,FALSE
3392,2014,Female,AA,83709,FALSE,FALSE,FALSE
3392,2009,Male,AA,83709,FALSE,FALSE,FALSE
3392,2005,Male,AA,83709,FALSE,FALSE,FALSE
3393,1993,Male,A,83705,FALSE,FALSE,TRUE
3394,1962,Female,W,83703,FALSE,TRUE,FALSE
3395,1946,Female,W,83703,FALSE,TRUE,FALSE
3396,1989,Male,W,83709,FALSE,FALSE,FALSE
3396,1988,Male,W,83709,FALSE,FALSE,FALSE
3398,1985,Male,W,83702,FALSE,FALSE,FALSE
3399,1994,Male,W,83704,FALSE,FALSE,FALSE
3401,1979,Female,A,83705,FALSE,TRUE,FALSE
3401,1986,Male,A,83705,FALSE,FALSE,FALSE
3401,2010,Male,A,83705,FALSE,FALSE,FALSE
3401,2008,Male,A,83705,FALSE,FALSE,FALSE
3402,1970,Female,W,83706,FALSE,TRUE,FALSE
3403,1966,Female,AA,83704,FALSE,FALSE,TRUE
3403,1991,Male,AA,83704,FALSE,FALSE,FALSE
3403,1993,Male,AA,83704,FALSE,FALSE,FALSE
3403,1995,Male,AA,83704,FALSE,FALSE,FALSE
3403,1997,Male,AA,83704,FALSE,FALSE,FALSE
3404,1976,Female,A,83702,FALSE,FALSE,TRUE
3404,1995,Male,A,83702,FALSE,FALSE,FALSE
3404,2000,Female,A,83702,FALSE,FALSE,FALSE
3404,2003,Female,A,83702,FALSE,FALSE,FALSE
3404,2007,Male,A,83702,FALSE,FALSE,FALSE
3405,1954,Female,W,83714,FALSE,TRUE,FALSE
3405,1975,Female,W,83714,FALSE,FALSE,FALSE
3405,2004,Female,W,83714,FALSE,FALSE,FALSE
3406,1992,Male,W,83705,FALSE,FALSE,FALSE
3406,1972,Female,W,83705,FALSE,FALSE,FALSE
3406,1994,Female,W,83705,FALSE,FALSE,FALSE
3406,1972,Female,W,83705,FALSE,FALSE,FALSE
3407,1987,Male,W,0,FALSE,FALSE,FALSE
3408,1958,Female,AA,83705,FALSE,FALSE,FALSE
3410,1975,Female,H,83705,FALSE,FALSE,FALSE
3410,1971,Male,H,83705,FALSE,FALSE,FALSE
3410,2002,Female,H,83705,FALSE,FALSE,FALSE
3410,2005,Male,H,83705,FALSE,FALSE,FALSE
3410,2010,Male,H,83705,FALSE,FALSE,FALSE
3411,1965,Female,H,83705,FALSE,FALSE,FALSE
3412,1985,Female,AA,83703,FALSE,FALSE,FALSE
3412,2004,Male,AA,83703,FALSE,FALSE,FALSE
3412,2005,Male,AA,83703,FALSE,FALSE,FALSE
3412,2004,Male,W,83703,FALSE,FALSE,FALSE
3412,2014,Female,AA,83703,FALSE,FALSE,FALSE
3413,1991,Female,W,83634,FALSE,FALSE,FALSE
3413,1979,Male,W,83634,FALSE,FALSE,FALSE
3413,2014,Male,W,83634,FALSE,FALSE,FALSE
3413,2012,Male,W,83634,FALSE,FALSE,FALSE
3414,1970,Female,W,83705,FALSE,FALSE,FALSE
3414,1980,Male,W,83705,FALSE,FALSE,FALSE
3414,2001,Female,W,83705,FALSE,FALSE,FALSE
3414,2001,Female,W,83705,FALSE,FALSE,FALSE
3415,1980,Female,W,83642,FALSE,FALSE,FALSE
3415,1978,Male,W,83642,FALSE,FALSE,FALSE
3415,2000,Female,W,83642,FALSE,FALSE,FALSE
3415,2002,Male,W,83642,FALSE,FALSE,FALSE
3416,1955,Female,W,83709,FALSE,FALSE,FALSE
3416,1954,Male,W,83709,FALSE,TRUE,FALSE
3417,1996,Male,W,83704,FALSE,FALSE,FALSE
3417,1996,Female,W,83704,FALSE,FALSE,FALSE
3417,1997,Female,W,83704,FALSE,FALSE,FALSE
3417,1991,Male,W,83704,FALSE,FALSE,FALSE
3418,1969,Female,H,83709,FALSE,FALSE,FALSE
3418,2009,Female,H,83709,FALSE,FALSE,FALSE
3418,2011,Male,H,83709,FALSE,FALSE,FALSE
3418,2015,Male,H,83709,FALSE,FALSE,FALSE
3419,1948,Female,W,83705,FALSE,FALSE,FALSE
3420,1947,Female,W,83702,FALSE,FALSE,FALSE
3421,1947,Male,W,83709,FALSE,FALSE,FALSE
3421,1953,Female,W,83709,FALSE,FALSE,FALSE
3421,1981,Male,W,83709,FALSE,FALSE,FALSE
3421,1982,Female,W,83709,FALSE,FALSE,FALSE
3421,1998,Male,W,83709,FALSE,FALSE,FALSE
3421,2010,Male,W,83709,FALSE,FALSE,FALSE
3422,1956,Female,W,83705,FALSE,FALSE,FALSE
3422,1956,Male,W,83705,FALSE,TRUE,FALSE
3423,1967,Female,OM,83705,FALSE,FALSE,TRUE
3423,2000,Female,OM,83705,FALSE,FALSE,TRUE
3423,2002,Male,OM,83705,FALSE,FALSE,TRUE
3423,2012,Female,AA,83705,FALSE,FALSE,FALSE
3424,1984,Male,H,83705,FALSE,FALSE,FALSE
3424,1984,Female,H,83705,FALSE,FALSE,FALSE
3424,2001,Male,H,83705,FALSE,FALSE,FALSE
3424,2007,Male,H,83705,FALSE,FALSE,FALSE
3424,2014,Male,H,83705,FALSE,FALSE,FALSE
3425,1972,Male,W,83705,FALSE,TRUE,FALSE
3426,1992,Male,H,83704,FALSE,FALSE,FALSE
3427,1991,Male,H,83702,FALSE,FALSE,FALSE
3428,1966,Female,A,83704,FALSE,TRUE,FALSE
3428,1996,Male,A,83704,FALSE,TRUE,FALSE
3428,2006,Male,A,83704,FALSE,FALSE,FALSE
3428,1991,Female,A,83704,FALSE,FALSE,FALSE
3429,1974,Male,W,83705,TRUE,FALSE,FALSE
3429,1974,Female,W,83705,FALSE,FALSE,FALSE
3429,2005,Female,W,83705,FALSE,FALSE,FALSE
3429,2003,Male,W,83705,FALSE,FALSE,FALSE
3430,1969,Female,W,83705,FALSE,FALSE,FALSE
3432,1961,Male,H,83705,FALSE,FALSE,FALSE
3433,1954,Male,W,83705,FALSE,FALSE,FALSE
3435,1972,Female,W,83705,FALSE,FALSE,FALSE
3435,1992,Female,W,83705,FALSE,FALSE,FALSE
3435,2013,Male,W,83705,FALSE,FALSE,FALSE
3436,1964,Female,W,83709,FALSE,FALSE,FALSE
3437,1980,Female,W,83634,FALSE,FALSE,FALSE
3437,2001,Female,W,83634,FALSE,FALSE,FALSE
3438,1954,Female,W,83714,FALSE,TRUE,FALSE
3438,1997,Female,W,83714,FALSE,FALSE,FALSE
3438,2000,Male,W,83714,FALSE,FALSE,FALSE
3438,2003,Female,W,83714,FALSE,FALSE,FALSE
3438,2014,Male,W,83714,FALSE,FALSE,FALSE
3438,1979,Female,W,83714,FALSE,FALSE,FALSE
3440,1959,Male,W,83704,FALSE,FALSE,FALSE
3440,1987,Female,W,83704,FALSE,FALSE,FALSE
3440,2005,Female,W,83704,FALSE,FALSE,FALSE
3440,2010,Female,W,83704,FALSE,FALSE,FALSE
3440,1977,Male,W,83704,FALSE,FALSE,FALSE
3440,2009,Male,W,83704,FALSE,FALSE,FALSE
3441,1958,Female,W,83704,FALSE,FALSE,FALSE
3441,1988,Female,W,83704,FALSE,FALSE,FALSE
3442,1950,Female,W,83705,FALSE,FALSE,FALSE
3442,1991,Male,W,83705,FALSE,FALSE,FALSE
3443,1970,Female,W,83714,FALSE,FALSE,FALSE
3444,1983,Male,H,83705,FALSE,FALSE,FALSE
3444,1975,Male,H,83705,TRUE,TRUE,FALSE
3444,1969,Male,H,83705,FALSE,FALSE,FALSE
3444,2010,Female,H,83705,FALSE,FALSE,FALSE
3444,2006,Male,H,83705,FALSE,FALSE,FALSE
3445,1976,Male,W,83709,FALSE,FALSE,FALSE
3446,1954,Male,W,83704,FALSE,FALSE,FALSE
3447,1984,Female,W,83709,FALSE,FALSE,FALSE
3447,2004,Female,W,83709,FALSE,FALSE,FALSE
3447,2005,Female,W,83709,FALSE,FALSE,FALSE
3447,1994,Male,W,83709,FALSE,FALSE,FALSE
3447,1955,Female,W,83709,FALSE,FALSE,FALSE
3448,1972,Female,W,83704,FALSE,FALSE,FALSE
3449,1966,Female,W,83704,FALSE,FALSE,FALSE
3450,1961,Female,W,83702,FALSE,FALSE,FALSE
3450,1984,Female,W,83702,FALSE,TRUE,FALSE
3450,1989,Male,W,83702,FALSE,FALSE,FALSE
3450,2006,Female,W,83702,FALSE,FALSE,FALSE
3451,1981,Male,W,83706,FALSE,TRUE,FALSE
3452,1977,Female,H,83704,FALSE,FALSE,FALSE
3452,2011,Female,H,83704,FALSE,FALSE,FALSE
3452,2016,Male,H,83704,FALSE,FALSE,FALSE
3453,1941,Female,W,83716,FALSE,FALSE,FALSE
3454,1966,Female,W,83702,FALSE,TRUE,FALSE
3455,1995,Male,H,83704,FALSE,FALSE,FALSE
3456,1967,Male,W,83709,FALSE,FALSE,FALSE
3456,1970,Female,W,83709,FALSE,FALSE,FALSE
3456,1999,Male,W,83709,FALSE,FALSE,FALSE
3456,2000,Male,W,83709,FALSE,FALSE,FALSE
3456,2001,Male,W,83709,FALSE,FALSE,FALSE
3456,2005,Male,W,83709,FALSE,FALSE,FALSE
3456,2006,Female,W,83709,FALSE,FALSE,FALSE
3457,1958,Female,OM,83702,FALSE,FALSE,TRUE
3458,1960,Male,AW,83703,FALSE,FALSE,TRUE
3459,1960,Male,W,83703,FALSE,FALSE,FALSE
3460,1988,Female,W,83704,FALSE,FALSE,FALSE
3460,1987,Male,W,83704,FALSE,FALSE,FALSE
3460,2005,Male,W,83704,FALSE,FALSE,FALSE
3460,2007,Male,W,83704,FALSE,FALSE,FALSE
3460,2011,Male,W,83704,FALSE,FALSE,FALSE
3460,2015,Male,W,83704,FALSE,FALSE,FALSE
3461,1978,Female,OM,83705,FALSE,TRUE,FALSE
3462,1990,Male,W,83706,FALSE,FALSE,FALSE
3462,1992,Female,W,83706,FALSE,FALSE,FALSE
3463,1963,Female,W,83705,FALSE,FALSE,FALSE
3464,1946,Female,W,83709,FALSE,FALSE,FALSE
3464,1942,Male,W,83709,TRUE,TRUE,FALSE
3464,2005,Male,W,83709,FALSE,FALSE,FALSE
3465,1980,Female,W,83712,FALSE,FALSE,FALSE
3465,2012,Female,W,83712,FALSE,FALSE,FALSE
